{'0': 0.6555305343766258, '1': 0.9619722015175047, '2': 0.8528592101898158}
{'0': -6.6742569967341865, '1': -9.182762061250346, '2': -11.089855417334807}
{'0': -6.67463509260678, '1': -9.183134087373091, '2': -11.090219058762225}
{'0': -6.674992820380601, '1': -9.183486072375679, '2': -11.090563110754665}
{'0': -6.675331277289125, '1': -9.183819095877181, '2': -11.090888628598833}
{'0': -6.675651501457641, '1': -9.184134179337377, '2': -11.091196610732926}
{'0': -6.675954475087428, '1': -9.184432289189811, '2': -11.091488001809084}
{'0': -6.67624112746839, '1': -9.184714339806057, '2': -11.091763695590853}
{'0': -6.676512337829399, '1': -9.184981196300317, '2': -11.092024537694552}
{'0': -6.676768938035096, '1': -9.185233677182921, '2': -11.092271328182996}
{'0': -6.6770117151374135, '1': -9.185472556870888, '2': -11.09250482401945}
{'0': -6.677241413789639, '1': -9.185698568063238, '2': -11.092725741389424}
{'0': -6.677458738530442, '1': -9.185912403988352, '2': -11.092934757897373}
{'0': -6.6776643559448585, '1': -9.186114720530266, '2': -11.093132514645069}
{'0': -6.677858896708856, '1': -9.186306138240408, '2': -11.093319618197999}
{'0': -6.678042957523763, '1': -9.186487244240983, '2': -11.093496642445857}
{'0': -6.67821710294649, '1': -9.186658594025804, '2': -11.093664130362782}
{'0': -6.678381867121158, '1': -9.186820713164128, '2': -11.09382259567279}
{'0': -6.678537755417437, '1': -9.186974098912692, '2': -11.093972524425487}
{'0': -6.678685245980641, '1': -9.187119221740915, '2': -11.094114376486885}
{'0': -6.6788247911982905, '1': -9.187256526773933, '2': -11.09424858694993}
{'0': -6.6789568190877135, '1': -9.187386435157908, '2': -11.094375567469024}
{'0': -6.679081734608852, '1': -9.187509345351774, '2': -11.094495707522663}
{'0': -6.679199920906383, '1': -9.187625634349404, '2': -11.094609375608062}
{'0': -6.679311740484898, '1': -9.187735658835935, '2': -11.094716920371418}
{'0': -6.679417536320798, '1': -9.18783975628181, '2': -11.094818671677292}
{'0': -6.679517632914282, '1': -9.187938245977872, '2': -11.094914941620374}
{'0': -6.679612337284651, '1': -9.188031430014698, '2': -11.09500602548275}
{'0': -6.679701939912026, '1': -9.188119594209196, '2': -11.095092202639606}
{'0': -6.679786715628299, '1': -9.188203008981255, '2': -11.095173737416129}
{'0': -6.679866924460121, '1': -9.18828193018319, '2': -11.09525087989826}
{'0': -6.6799428124264475, '1': -9.188356599884507, '2': -11.095323866699754}
{'0': -6.680014612293153, '1': -9.188427247114378, '2': -11.095392921687946}
{'0': -6.680082544286966, '1': -9.188494088564127, '2': -11.095458256670387}
{'0': -6.680146816770955, '1': -9.188557329251875, '2': -11.095520072044518}
{'0': -6.680207626883632, '1': -9.188617163151378, '2': -11.095578557412326}
{'0': -6.680265161143619, '1': -9.188673773786984, '2': -11.095633892161906}
{'0': -6.680319596021741, '1': -9.188727334796555, '2': -11.09568624601768}
{'0': -6.680371098482311, '1': -9.188778010464041, '2': -11.095735779560979}
{'0': -6.680419826495233, '1': -9.188825956223386, '2': -11.095782644722593}
{'0': -6.6804659295205475, '1': -9.188871319135277, '2': -11.095826985248763}
{'0': -6.6805095489668505, '1': -9.18891423833821, '2': -11.095868937142097}
{'0': -6.680550818625031, '1': -9.18895484547527, '2': -11.095908629078712}
{'0': -6.680589865078635, '1': -9.188993265097896, '2': -11.095946182802923}
{'0': -6.68062680809213, '1': -9.18902961504792, '2': -11.095981713500649}
{'0': -6.680661760978246, '1': -9.189064006819011, '2': -11.096015330152724}
{'0': -6.680694830945536, '1': -9.189096545898652, '2': -11.09604713586916}
{'0': -6.680726119427206, '1': -9.189127332091694, '2': -11.09607722820542}
{'0': -6.6807557223922345, '1': -9.189156459826481, '2': -11.096105699461624}
{'0': -6.680783730639734, '1': -9.189184018444486, '2': -11.096132636965677}
{'0': -6.68081023007745, '1': -9.189210092474339, '2': -11.096158123341107}
{'0': -6.680835301985264, '1': -9.189234761891093, '2': -11.096182236760496}
{'0': -6.680859023264489, '1': -9.189258102361528, '2': -11.096205051185255}
{'0': -6.680881466673751, '1': -9.189280185476246, '2': -11.09622663659248}
{'0': -6.680902701052156, '1': -9.189301078969244, '2': -11.096247059189587}
{'0': -6.680922791530434, '1': -9.189320846925682, '2': -11.096266381617385}
{'0': -6.680941799730712, '1': -9.189339549978431, '2': -11.09628466314221}
{'0': -6.6809597839555135, '1': -9.189357245494062, '2': -11.09630195983771}
{'0': -6.680976799366599, '1': -9.189373987748798, '2': -11.096318324756833}
{'0': -6.680992898154155, '1': -9.189389828094988, '2': -11.096333808094554}
{'0': -6.681008129696869, '1': -9.189404815118625, '2': -11.096348457341836}
{'0': -6.68102254071339, '1': -9.189418994788358, '2': -11.096362317431296}
